pitch,funding_amount,industry,city
online tutoring service provider,209000.0,Consumer Internet,Mumbai
cloud based software solutions provider,15000000.0,Technology,Hyderabad
agri-tech supply chain solution provider,1500000.0,Technology,Gurgaon
peer-to-peer lending platform,1500000.0,Consumer Internet,Gurgaon
integrated enterprise analytics platform,15600000.0,Technology,Noida
data analytics & audience management platform,500000.0,Technology,Gurgaon
budget hotels aggregator,62000000.0,Consumer Internet,New Delhi
mobile messaging app,175000000.0,Consumer Internet,New Delhi
online jewellery store,500000.0,eCommerce,Mumbai
"sweets, dry fruits & handicrafts etailer",1500000.0,eCommerce,Ahmedabad
online & mobile learning for kids,250000.0,Technology,Pune
online logistics marketplace,375000.0,Logistics,Indore
mobile security solutions,675000.0,Technology,Bangalore
classified listings platform,20000000.0,Consumer Internet,Mumbai
aadhar based document signing platform,375000.0,Technology,Bangalore
"organic,\\xc2\\xa0 natural\\xc2\\xa0 food substitute manufacturer",37000000.0,healthcare,Mumbai
online notes sharing portal,100000.0,Consumer Internet,New Delhi
artificial intelligence based marketing platform,200000.0,Technology,New Delhi
free interactive education platform,1000000.0,Consumer Internet,Bangalore
clinical imaging solution provider,100000.0,Technology,Chandigarh
home furnishing rental marketplace,500000.0,eCommerce,Bangalore
dreams fulfilling marketplace,500000.0,eCommerce,Mumbai
edutainment platform,900000.0,Education,Noida
online furniture store,3000000.0,eCommerce,Mumbai
health and fitness centres,3000000.0,Healthcare,Bangalore
self-driven car booking platform,24000000.0,Consumer Internet,Bangalore
photo and video sharing app,500000.0,Consumer Internet,Gurgaon
digital wallet platform,40000000.0,Consumer Internet,Gurgaon
"on-demand, hyper-local cleaning services provider",550000.0,Consumer Internet,Mumbai
lending platform for salaried professionals,3000000.0,Consumer Internet,Mumbai
hyperlocal logistics services provider,7000000.0,Consumer Internet,Bangalore
self-publishing books platform,1000000.0,Consumer Internet,Chennai
online portal for home design,15000000.0,Consumer Internet,Bangalore
assessment & learning platform,149000.0,Technology,Gurgaon
fruit & vegetable delivery platform,104000.0,Consumer Internet,New Delhi
mobile wallet & ecommerce platform,60000000.0,eCommerce,Bangalore
agriculture technology solutions,2000000.0,Technology,Bangalore
photographer discovery & information platform,3000000.0,Consumer Internet,Bangalore
online fashion rental platform,5300000.0,eCommerce,Mumbai
seed investment & innovation platform,500000.0,Consumer Internet,Mumbai
mobile marketplace for crowdsourced work,700000.0,Consumer Internet,Bangalore
online preventive healthcare platform,15000000.0,Consumer Internet,Bangalore
custom furniture online,200000.0,eCommerce,Mumbai
hyperlocal logistics service,2000000.0,Logistics,Mumbai
sme lending platform,16000000.0,Finance,Mumbai
video based doctor consulting platform app,1000000.0,Consumer Internet,Gurgaon
event & movie ticketing platform,82000000.0,Consumer Internet,Mumbai
online fashion rental platform,1700000.0,eCommerce,Mumbai
online merchandize etailer,740000.0,eCommerce,New Delhi
full stack offline & online erp solution,250000.0,Technology,Ahmedabad
"wedding wishlist, gifts & registry creation platform",297000.0,Consumer Internet,Chennai
mobile security app development & distribution,2000000.0,Technology,Mumbai
gamified consumer insights portal,1000000.0,Consumer Internet,New Delhi
online food ordering & delivery platform,1950000.0,Consumer Internet,Mumbai
beauty products marketplace,6000000.0,eCommerce,Mumbai
car tracking & safety system,3500000.0,Technology,Gurgaon
unboxed & refurbished electronic products marketplace,3000000.0,eCommerce,Gurgaon
saas based service agreement management,12250000.0,Technology,Gurgaon
"online content discovery, creation & distribution platform",5000000.0,Consumer Internet,New Delhi
online food ordering & delivery startup,600000.0,Consumer Internet,Gurgaon
vernacular language content creation & sharing app,1350000.0,Consumer Internet,Bangalore
online furniture renting platform,5000000.0,Consumer Internet,Bangalore
personalized precious jewellery etailer,450000.0,eCommerce,Coimbatore
m-commerce solutions for retail stores,1070000.0,Technology,Pune
enterprise work management software,1000000.0,Technology,Pune
online investment banking platform,2000000.0,Consumer Internet,Bangalore
travel package marketplace,250000.0,eCommerce,New Delhi
public transport mobile app,6000000.0,Consumer Internet,Mumbai
online learning platform,650000.0,Consumer Internet,Pune
online food ordering platform,650000.0,Consumer Internet,New Delhi
jewellery etailer,30000000.0,eCommerce,Mumbai
cloud-based enterprise solutions,10000000.0,Technology,New Delhi
loans comparison platform,15000000.0,Consumer Internet,Noida
payroll & benefits software solutions,1000000.0,Technology,Bangalore
mobile apps saas platform,250000.0,Consumer Internet,Gurgaon
online tax filing portal,1000000.0,Consumer Internet,Jaipur
tech-focused cargo transport startup,595000.0,Logistics,Mumbai
online car rental booking platform,1000000.0,Consumer Internet,New Delhi
inter-city taxi booking platform,595000.0,Consumer Internet,Bangalore
"smart, energy efficient home appliance manufacturer",1000000.0,Technology,Mumbai
bus aggregator mobile app,1000000.0,Consumer Internet,Mumbai
truck aggregator & booking platform,75000.0,Consumer Internet,Chennai
treatment development for antibiotic-resistant diseases,2000000.0,Healthcare,New Delhi
digital media and entertainment startup,448000.0,Consumer Internet,Hyderabad
k-12 maths learning courses,4000000.0,Education,Bangalore
student micro-loan platform,2000000.0,Consumer Internet,Bangalore
post merger integration partners,100000.0,Technology,Bangalore
mobile crm platform,23000000.0,Technology,Pune
credit scoring platform,1000000.0,Technology,Mumbai
online learning platform,1000000.0,Consumer Internet,Hyderabad
location based classified mobile app,500000.0,eCommerce,Mumbai
tech-enabled fashion talent platform,200000.0,Technology,Mumbai
connecting small town consumers to e-commerce,16000000.0,eCommerce,Bangalore
online medical support platform,200000.0,Consumer Internet,Gurgaon
fin-tech platform,2000000.0,Technology,Mumbai
mobile based rewards platform,500000.0,Consumer Internet,New Delhi
online custom shirt retailer,1000000.0,eCommerce,Mumbai
e-book publisher,30000.0,Consumer Internet,
data driven advertising platform,6000000.0,Technology,Bangalore
queue management mobile app,1000000.0,Consumer Internet,Pune
online alternative health community platform,4400000.0,Consumer Internet,Bangalore
taxi rental platform,450000.0,Consumer Internet,Vadodara
contact management mobile app,450000.0,Consumer Internet,New Delhi
help hiring platform,600000.0,Consumer Internet,Gurgaon
online women\\xe2\\x80\\x99s fashion marketplace,20000000.0,eCommerce,Bangalore
online tax filing platform,12000000.0,Consumer Internet,New Delhi
home automation solutions,900000.0,Technology,Bangalore
payroll & hr software developer,5200000.0,Technology,Bangalore
online platform for event sponsorship,150000.0,Consumer Internet,Mumbai
fintech product development & services startup,400000.0,Technology,Bangalore
online outdoors & travel,225000.0,Consumer Internet,Mumbai
beauty products & training to salons & spas,150000.0,FMCG,Chennai
women lingerie store,6000000.0,eCommerce,Mumbai
online invoice app for smes,150000.0,Consumer Internet,Pune
logistics management software,3500000.0,Technology,New Delhi
school parent communication app,210000.0,Consumer Internet,Bangalore
professional driver discovery & booking mobile app,50000.0,Consumer Internet,Mumbai
cloud data security & privacy solutions,500000.0,Technology,Bangalore
cold storage logistics solutions,6000000.0,Logistics,Mumbai
supply chain equipment & services provider,3000000.0,Others,Mumbai
free door step scrap pickup service,148000.0,Others,New Delhi
online counselling & personal coaching platform,1200000.0,Consumer Internet,Bangalore
online spa & salon discovery & booking platform,100000.0,Consumer Internet,Bangalore
online ticket booking platform,3000000.0,Consumer Internet,Bangalore
online hotel aggregator & booking platform,8000000.0,Consumer Internet,Gurgaon
gps based saas solutions,300000.0,Technology,Ahmedabad
online working capital business loans platform,32000000.0,Consumer Internet,Ahmedabad
online tax filing platform,295000.0,Consumer Internet,New Delhi
ecommerce saas solutions,100000.0,eCommerce,New Delhi
visual content marketing,50000.0,Technology,Kolkata
online designer jewellery marketplace,1500000.0,eCommerce,Mumbai
online/ mobile tax cab booking,25000000.0,Consumer Internet,Mumbai
student focussed content discovery portal,220000.0,Consumer Internet,Bangalore
qsr chain,368000.0,Food & Beverage,Gurgaon
parking technology platform,376000.0,Technology,New Delhi
health service aggregator platform,145000.0,Consumer Internet,Pune
mobile & digital wallet,50000000.0,Consumer Internet,Gurgaon
online recruitment platform,250000.0,Consumer Internet,Bangalore
car driver discovery app,180000.0,Consumer Internet,Mumbai
road trip planning mobile app,200000.0,Consumer Internet,Mumbai
eyewear & accessories etailer,60000000.0,eCommerce,New Delhi
enterprise security technology platform,12000000.0,Technology,Mumbai
solar rooftop system installation company,200000.0,Technology,Chennai
telecom & media it services company,200000.0,Technology,Pune
medical supplies etailer,150000.0,eCommerce,Hyderabad
intelligent tech platform for finance vertical,500000.0,Technology,Singapore
affordable non-emergency medical service health plans,500000.0,Technology,New Delhi
web video streaming platform,500000.0,Consumer Internet,Bangalore
cloud based software solutions,375000.0,Consumer Internet,Bangalore
education workshops & mentoring programs,1000000.0,Education,Lucknow
logistics and warehousing services,75000.0,Logistics,Hyderabad
logistics intelligence platform,2750000.0,Technology,Bangalore
children\\xe2\\x80\\x99s entertainment portal,450000.0,Consumer Internet,Bangalore
"furniture, appliances portal",250000.0,eCommerce,New Delhi
health & fitness app,6000000.0,Consumer Internet,Bangalore
conversion rate optimization platform,1500000.0,Consumer Internet,Chennai
clean water technology,18000000.0,Technology,Chennai
school uniform & supplies marketplace,1500000.0,eCommerce,Mumbai
food delivery platform,7000000.0,Consumer Internet,Bangalore
home rental discovery & booking portal,900000.0,Consumer Internet,Bangalore
data analytics company,100000000.0,Technology,Mumbai
free online education platform,500000.0,Consumer Internet,Bangalore
online lending platform,25000000.0,Consumer Internet,Bangalore
senior healthcare services,150000.0,Healthcare,Hyderabad
budget room aggregator booking platform,13500000.0,Consumer Internet,Chennai
e-commerce logistics solutions,2200000.0,Logistics,Mumbai
smart learning products,1000000.0,eCommerce,Delhi
food ordering mobile app,250000.0,Consumer Internet,Bangalore
online health-on-demand platform,100000.0,Consumer Internet,Trivandrum
online certification courses,10000000.0,Education,Mumbai
co-working spaces,1000000.0,Reality,Bangalore
location-based offline retail discovery platform,1000000.0,Consumer Internet,Mumbai
cab aggregating platform,500000.0,Consumer Internet,New Delhi
on demand digital sports network,500000.0,Consumer Internet,New Delhi
online peer to peer funding,300000.0,Consumer Internet,Noida
fashion discovery platform,89000.0,Consumer Internet,New Delhi
online investment platform,1000000.0,Consumer Internet,Bangalore
pediatric primary healthcare network,1500000.0,Healthcare,Bangalore
mobility devices for differently abled,100000.0,Technology,Pune
online income tax filing platform,2000000.0,Consumer Internet,Bangalore
celebrity entertainment contest app,475000.0,Consumer Internet,New Delhi
safe driving analytics platform,200000.0,Technology,Mumbai
apparel & lifestyle etailer,4400000.0,eCommerce,New Delhi
payment gateway,8900000.0,Consumer Internet,Mumbai
hyperlocal advertising platform,175000.0,Consumer Internet,Mumbai
matchmaking mobile app,2700000.0,Consumer Internet,SFO / Bangalore
digital media entertainment portal,25000000.0,Consumer Internet,Mumbai
logistics solutions,1000000.0,Logistics,Gurgaon
online bike service and repairs platform,500000.0,Consumer Internet,Bangalore
mobile based on-demand beauty services platform,6000000.0,Consumer Internet,Mumbai
online food delivery platform,1000000.0,Consumer Internet,Bangalore
online health diagnosis platform,40000.0,Consumer Internet,New Delhi
social discovery platform,200000.0,Consumer Internet,Mumbai
online branded budget room booking service,100000000.0,Consumer Internet,New Delhi
price comparison portal,300000.0,Consumer Internet,Gurgaon
on-demand task management app,1000000.0,Consumer Internet,Bangalore
online legal services for startups,1000000.0,Consumer Internet,New Delhi
subscription-based grocery delivery mobile app,150000.0,Consumer Internet,Pune
fashion ecommerce app,250000.0,eCommerce,Mumbai
invoice discounting\\xc2\\xa0 marketplace,750000.0,eCommerce,Bangalore
contextual mobile advertising,100000.0,Technology,Mumbai
online car & bike insurance comparison portal,1000000.0,Consumer Internet,New Delhi
on-demand beauty service provider,15000000.0,Consumer Internet,New Delhi
furnished home rental platform,30000000.0,Consumer Internet,Bangalore
expert advice platform,150000.0,Consumer Internet,Bangalore
on-demand delivery & logistics platform,10000000.0,Consumer Internet,Chandigarh
customer intelligence and marketing automation platform,1500000.0,eCommerce,Noida
on-demand chauffeur provider,450000.0,Consumer Internet,Chennai
college & student information platform,2000000.0,Consumer Internet,New Delhi
online pharmacy,15000000.0,eCommerce,Gurgaon
mobile based meat ordering app,3000000.0,eCommerce,Bangalore
children\xe2\x80\x99s entertainment games & products,450000.0,Consumer Internet,New Delhi
shuttle service provider,200000.0,Consumer Internet,Hyderabad
ready-to-drink beverage producer,550000.0,Food & Beverage,Bangalore
digital payments platform,15000000.0,Consumer Internet,Mumbai
online filing of tax returns,1300000.0,Consumer Internet,Bangalore
social fashion ecommerce discovery platform,15000000.0,eCommerce,Gurgaon
micro grocery delivery platform,500000.0,Consumer Internet,Gurgaon
mobile based children health information app,450000.0,Consumer Internet,New Delhi
online wedding information portal,600000.0,Consumer Internet,Mumbai
online doctor discovery & chat platform,1200000.0,Consumer Internet,Bangalore
online crowdfunding platform for ngos & social projects,500000.0,Consumer Internet,Mumbai
ecommerce saas solutions,100000.0,eCommerce,New Delhi
mobile wallet aggregation platform,600000.0,Consumer Internet,Noida
industrial robots maker,1400000.0,Technology,Bangalore
financial services & analytics education institute,1000000.0,Education,Mumbai
social discovery mobile app,500000.0,Consumer Internet,New Delhi
office products super store,1000000.0,ECommerce,Chennai
mobile payments platform,150000.0,Consumer Internet,Kolkata
mobile app discovery and review platform,100000.0,Consumer Internet,Gurgaon
healthcare related services provider,4000000.0,Healthcare,Gurgaon
bike taxi service & hyperlocal delivery app,500000.0,Consumer Internet,Noida
b2b marketplace for farmers & retailers,3000000.0,ECommerce,Bangalore
cross platform p2p file sharing mobile app,500000.0,Consumer Internet,Bangalore
hyperlocal beauty services platform,250000.0,Consumer Internet,New Delhi
medical support service platform,100000.0,Consumer Internet,Bangalore
women\\xe2\\x80\\x99s health tracker,750000.0,Consumer Internet,Bangalore
ecommerce saas platform,8000000.0,ECommerce,New Delhi
daily task management app,650000.0,Consumer Internet,Bangalore
virtual reality solutions,500000.0,Technology,Noida
interior design & home d\\xc3\\xa9cor solutions,2500000.0,Real Estate,Bangalore
hyperlocal grocery delivery service,1000000.0,Consumer Internet,Hyderabad
self drive car rental,400000.0,Consumer Internet,Mumbai
premium dining lounges chain,11100000.0,Food & Beverage,New Delhi
contract management software solutions platform,15000000.0,Technology,Pune/Seattle
construction material etailer,1000000.0,ECommerce,New Delhi
medical supplies etailer,223608.0,ECommerce,Bangalore
"domestic, commercial, and industrial goods movers",14900000.0,Logistics,New Delhi
tutor search platform,1000000.0,Consumer Internet,Bangalore
advertising technology,150000.0,Technology,Pune
personalized fashion app,250000.0,Consumer Internet,Gurgaon
hyperlocal home maintenance services,180000.0,Consumer Internet,Bangalore
online investment management portal,250000.0,Consumer Internet,Bangalore
specialized patient care platform,200000.0,Healthcare,Noida
ondemand concierge service,230000.0,Consumer Internet,Gurgaon
doctor discovery and booking platform,800000.0,Consumer Internet,Mumbai
car/ bike pooling app,108000.0,Consumer Internet,Mumbai
quick service restaurant chain,1500000.0,Food & Beverage,Hyderabad
online sports discovery and booking platform,30000.0,Consumer Internet,New Delhi
budget hotel aggregator,2000000.0,Consumer Internet,Gurgaon
educational video content creator,75000000.0,Consumer Internet,Bangalore
online grocery shop,150000000.0,eCommerce,Bangalore
on-demand 2-wheeler servicing platform,600000.0,Consumer Internet,Bangalore
online credit management tools,360000.0,Consumer Internet,Hyderabad
interior painting automation,100000.0,Technology,Hyderabad
robotic classes for students,300000.0,Technology,Chennai
healthcare related solutions,330000.0,Consumer Internet,Hyderabad
online bike rental platform,500000.0,Consumer Internet,Bangalore
unified push notification service,150000.0,Consumer Internet,Gurgaon
online marketplace for schools,300000.0,eCommerce,Noida
child healthcare experts aggregator mobile app,300000.0,Consumer Internet,New Delhi
asset based lending platform,4700000.0,Finance,Chennai
mobile based logistics provider,200000.0,Consumer Internet,New Delhi
grc saas platform,500000.0,Consumer Internet,Chennai
predictive healthcare platform,400000.0,Healthcare,Bangalore
iot & m2m solutions,4000000.0,Technology,Pune
mobile email productivity tool,22500.0,Consumer Internet,Bangalore
marketing automation platform,22500.0,Consumer Internet,
augmented reality solutions,22500.0,Technology,Gurgaon
audio technology solutions,22500.0,Technology,Mumbai
beauty & wellness platform,1000000.0,Consumer Internet,Pune / Dubai
auto spare parts etailer,100000.0,ECommerce,New Delhi
music discovery mobile app,100000.0,Consumer Internet,Noida
book recommendation service,30000.0,Consumer Internet,Bangalore
fragrances & perfume etailer,30000.0,ECommerce,New Delhi
safe driving data & analytics platform,13500000.0,Technology,Bangalore / SFO
personalized products & merchandize etailer,1000000.0,Ecommerce,Vadodara
optical store aggregator platform,81000.0,Consumer Internet,Pune
healthcare services & online pharmacy mobile app,52000.0,Consumer Internet,Varanasi
pet products etailer,1000000.0,Ecommerce,New Delhi
personal fashion stylist app,100000.0,Consumer Internet,Gurgaon
ad network,100000.0,Consumer Internet,New Delhi
ecommerce logistics solutions,12500000.0,ECommerce,Pune
digital lending platform,200000.0,Consumer Internet,Mumbai
social networking platform,1200000.0,Consumer Internet,Bangalore
medicine intake reminder system,150000.0,Technology,Pune
cloud analytics and management products,125000.0,Technology,Bangalore
premium tea and coffee,1000000.0,Food & Beverage,New Delhi
solar power solutions,1000000.0,Technology,Mumbai
online stock trading platform,4000000.0,Consumer Internet,Mumbai
online recruitment marketplace,5000000.0,Consumer Internet,Mumbai
horizontal online marketplace,200000000.0,eCommerce,New Delhi
events & restaurant discovery marketplace app,50000.0,Consumer Internet,Gurgaon
online household product rental platform,300000.0,Consumer Internet,Bangalore
micro lending platform for ecommerce purchases,500000.0,Finance,Bangalore
dynamic restaurant website creator,1000000.0,Consumer Internet,Bangalore
data analytics based verification services platform,970000.0,Technology,Bangalore
professional custom creators marketplace,4000000.0,eCommerce,Pune
mobile gaming platform,350000.0,Technology,New Delhi
independent online video production company,10000000.0,Consumer Internet,Mumbai
private coaching classes,5000000.0,Education,New Delhi
health related information portal,73000.0,Consumer Internet,Ahmedabad
online pharmacy store,300000.0,ECommerce,New Delhi
warehouse automation,350000.0,Technology,Bangalore
ethnic products marketplace,5000000.0,ECommerce,New Delhi
mobile platform for corporate employee benefits,400000.0,Consumer Internet,Gurgaon
parenting mobile app,1000000.0,Consumer Internet,Bangalore
hyperlocal discover mobile app,3000000.0,Consumer Internet,New Delhi
healthy food delivery platform,100000.0,Consumer Internet,New Delhi
hyperlocal handyman services platform,4500000.0,Consumer Internet,Mumbai
mobile fashion app,37000.0,Consumer Internet,New Delhi
deals and discount platform,11000000.0,Consumer Internet,Gurgaon
hyperlocal home services provider,160000.0,Consumer Internet,Bangalore
peer to peer property listing platform,10000000.0,Consumer Internet,Bangalore
online wedding services marketplace,400000.0,Consumer Internet,Hyderabad
hotel reservations & deal platform,150000.0,Consumer Internet,Noida
b2b commerce marketplace,5000000.0,eCommerce,Gurgaon
digital payments solutions,5800000.0,Consumer Internet,Bangalore
party supplies etailer,70000.0,eCommerce,New Delhi
iot retail solutions,145000.0,Technology,New Delhi
skill development and vocational training platform,2500000.0,Consumer Internet,Mumbai
baby & kids products online flash sales platform,13000000.0,eCommerce,Mumbai
craft beer manufacturing company,6000000.0,Food & Beverage,New Delhi
child disorder information & education,100000.0,Education,Bhopal
ride sharing platform,150000.0,Consumer Internet,Bangalore
cloud mobility solutions,5000000.0,Consumer Internet,Mumbai
"tv search, guide and remote mobile app",750000.0,Technology,Bangalore
bitcoin buying & selling mobile app,1000000.0,Consumer Internet,Ahmedabad
medical tourism platform,150000.0,Healthcare,Pune
children education & information platform,3000000.0,Education,Gurgaon
school student admissions platform,750000.0,Education,New Delhi
online furniture customization platform,160000.0,Consumer Internet,Bangalore
mobile based education platform,100000.0,Education,Jaipur
online travel/hotel booking platform,180000000.0,Consumer Internet,Gurgaon
online/ mobile jewellery retailer,5000000.0,ECommerce,Bangalore
train pnr status prediction platform,250000.0,Consumer Internet,Bangalore
career planning and education advisory platform,45000.0,Education,Mumbai
online fashion apparel retailer,5400000.0,ECommerce,Gurgaon
online / mobile food ordering platform,16500000.0,Consumer Internet,Bangalore
last minute hotel bookings mobile marketplace,1000000.0,ECommerce,Bangalore
ecommerce marketplace,100000000.0,ECommerce,Gurgaon
next generation in-building connectivity,2300000.0,Technology,Bangalore
mobile based referral platform,250000.0,Consumer Internet,Mumbai
auto classifieds portal,145000000.0,Consumer Internet,Mumbai
peer-to-peer renting marketplace,100000.0,Consumer Internet,Bangalore
inter-city cab aggregator,240000.0,Consumer Internet,New Delhi
professional health services platform,4000000.0,Healthcare,Mumbai
carpooling mobile app,520000.0,Consumer Internet,Gurgaon
fitness related social networking app & forum,200000.0,Consumer Internet,Gurgaon
saas diy\\xc2\\xa0 ecommerce platform,6000000.0,Consumer Internet,New Delhi
online/mobile food ordering platform,35000000.0,Consumer Internet,Bangalore
mobile accessories etailer,1400000.0,ECommerce,New Delhi
local language mobile os,5000000.0,Technology,Mumbai
educational college search platform,445000.0,Consumer Internet,New Delhi
social business incubator & fund,3500000.0,Finance,Chennai
b2b industrial goods marketplace,1800000.0,ECommerce,New Delhi
b2b marketplace for distributors,20000000.0,ECommerce,Mumbai
adult products etailers,4000000.0,ECommerce,New Delhi / US
social meeting organizer app,40000.0,Consumer Internet,Mumbai / UK
personal finance mobile app,500000.0,Consumer Internet,Bangalore
online insurance policy aggregator,2200000.0,Consumer Internet,Noida
online real estate portal,15000000.0,Consumer Internet,Mumbai
smartphone os developer,3000000.0,Technology,Bangalore
hindi language social networking portal,200000.0,Consumer Internet,Kanpur
mobile based retail market ecosystem,7200000.0,ECommerce,Bangalore
home automation & security solutions,515000.0,Technology,Bangalore
electronic payments solution company,35000000.0,Technology,Mumbai
enterprise cloud based data processing,30000000.0,Technology,Bangalore
photography curation & aggregator platform,150000.0,Consumer Internet,Mumbai
sme online buying hub,21000000.0,Consumer Internet,Gurgaon
construction material etailer,4000000.0,ECommerce,Gurgaon
"sales, market, distribution & data analytics platform",1000000.0,Technology,Bangalore
data intelligence & analytics,1000000.0,Technology,Hyderabad
vegetables & fruits supply chain,370000.0,FMCG,Mumbai
online fitness & educational information aggregator,160000.0,Consumer Internet,Jodhpur
indians focused matchmaking app,185000.0,Consumer Internet,Bangalore
fresh food delivery platform,17000000.0,Consumer Internet,Bangalore
online marketplace for cars,5150000.0,ECommerce,Mumbai
mobile & cloud based app developer,1100000.0,Technology,New Delhi
online education information platform,1000000.0,Online Education Information platform,Jaipur
transportation & logistics platform,5600000.0,Transportation & Logistics Platform,Mumbai
enterprise marketing automation platform,500000.0,Enterprise Marketing Automation platform,New Delhi
digital healthcare,2000000.0,Digital Healthcare,New Delhi
last minute hotel booking app,1500000.0,Last Minute Hotel Booking App,Bangalore
online food ordering & delivery platform,100000.0,Online Food ordering & Delivery platform,New Delhi
app based bus pooling services,20000000.0,App based Bus Pooling Services,Gurgaon
on demand mobile app developer,100000.0,On Demand Mobile app developer,Kolkata
car maintenance & management mobile app,100000.0,Car Maintenance & Management mobile app,Gurgaon
online wedding marketplace,20000000.0,Online Wedding Marketplace,New Delhi
custom made furniture e-tailer,4500000.0,Custom Made furniture e-tailer,Hyderabad
qsr chain,30000000.0,QSR Chain,Pune
smart safety wearable devices,250000.0,Smart Safety Wearable Devices,New Delhi
cab sharing service mobile app,100000.0,Cab Sharing service Mobile app,Mumbai
home cooked food order & delivery platform,2000000.0,Home Cooked Food Order & Delivery platform,Gurgaon
online school for analytics learning,3000000.0,Online School for Analytics learning,Bangalore
picture creation & social mobile app,350000.0,Picture creation & Social mobile app,Mumbai
nonbanking finance company,3000000.0,Nonbanking finance company,New Delhi
online freight services aggregator,25000000.0,Online Freight Services Aggregator,Bangalore
online branded furniture etailer,5000000.0,Online Branded Furniture etailer,Bangalore
digital analytics platform,500000.0,Digital Analytics Platform,New Delhi
internet network infrastructure services,500000.0,Internet Network Infrastructure Services,New Delhi
supply chain & logistics solutions,10000000.0,Supply Chain & Logistics Solutions,New Delhi
mobile point of sale solutions,2500000.0,Mobile Point of Sale solutions,Hyderabad
peer-to-peer money transfer & recharge app,70000000.0,Peer-to-Peer Money Transfer & Recharge App,Mumbai
test automation saas platform,600000.0,Test Automation SAAS platform,Hyderabad/USA
online rti application services,150000.0,Online RTI application services,Bangalore
wedding venues & vendors marketplace,1000000.0,Wedding Venues & Vendors Marketplace,Mumbai
modular furnishings marketplace,3500000.0,Modular Furnishings Marketplace,Bangalore
cab search comparison & booking platform,200000.0,Cab search Comparison & Booking platform,New Delhi
performance optimization platform for athletes,3000000.0,Performance Optimization Platform for athletes,Boston
visual search and discovery platform,1000000.0,visual search and discovery platform,Bangalore / Palo Alto
home services marketplace,22500000.0,Home services marketplace,Bangalore
end to end reverse logistics solution platform,2000000.0,End to End reverse logistics Solution platform,Bangalore
virtual health consultation app,1200000.0,Virtual Health consultation app,Mumbai
logistics services provider,30000000.0,Logistics Services Provider,Gurgaon
data science & ux design learning platform,1700000.0,Data Science & UX design Learning platform,Bangalore
electric bike manufacturers,1200000.0,Electric Bike Manufacturers,Coimbatore
international hiring platform,200000.0,International Hiring Platform,Mumbai / NY
logistics service provider marketplace,2000000.0,Logistics Service Provider Marketplace,New Delhi
hyperlocal\\xc2\\xa0 grocery delivery service,4000000.0,Hyperlocal\\xc2\\xa0 Grocery Delivery Service,Gurgaon
sports education platform,2000000.0,Sports Education Platform,Mumbai
mobile accessories online store,3000000.0,Mobile accessories online store,Hyderabad
artificial intelligence platform,750000.0,Artificial Intelligence platform,Mumbai
medical consultation & doctor appointment booking platform,500000.0,Medical Consultation & Doctor appointment booking platform,Gurgaon
mobile fitness app,1000000.0,Mobile Fitness App,Goa
mobile game development & design platform,1000000.0,Mobile Game development & Design platform,Bangalore
b2b ecommerce marketplace,5000000.0,B2B eCommerce Marketplace,Bangalore
b2b merchandize platform,303000.0,B2B Merchandize platform,Mumbai
photographer online search & booking platform,2200000.0,Photographer Online search & booking platform,Bangalore
grocery delivery platform,1000000.0,Grocery Delivery platform,Bangalore
mobile car servicing appointment app,500000.0,Mobile Car Servicing appointment app,Bangalore
new curation mobile app,150000.0,New Curation Mobile App,Bangalore
mobile wallet,6600000.0,Mobile Wallet,Gurgaon
online food ordering & delivery platform,200000.0,Online Food Ordering & Delivery platform,Gurgaon
bus aggregation and rental mobile app,750000.0,Bus Aggregation and rental mobile app,Mumbai
alternate mobile monetization platform,5000000.0,Alternate Mobile Monetization platform,Mumbai
online food ordering marketplace,150000.0,Online Food Ordering Marketplace,Vadodara
quick service restaurant & online delivery,385000.0,Quick Service Restaurant & Online Delivery,Mumbai
online loans marketplace,320000.0,Online Loans Marketplace,Mumbai
budget hotels aggregator,500000.0,Budget Hotels Aggregator,New Delhi
efficient energy management platform,16600000.0,Efficient Energy Management platform,USA/India
digital intelligent learning platform,250000.0,Digital Intelligent learning platform,Mumbai
online counselling and psychological support platform,400000.0,Online Counselling and psychological support platform,Gwalior
domestic help aggregation platform,150000.0,Domestic Help Aggregation platform,Mumbai
home stay & room rentals platform,200000.0,Home Stay & room rentals platform,Goa
online grocery platform,1800000.0,Online Grocery platform,Gurgaon
online content platform for women,2000000.0,Online content platform for women,New Delhi
online vehicle spare parts etailer,460000.0,Online Vehicle Spare Parts etailer,Pune
event ticketing platform,490000.0,Event Ticketing platform,Pune
premium dining lounges & restaurants,15000000.0,Premium dining Lounges & restaurants,Gurgaon
mobile growth hacking\\nplatform,500000.0,Mobile Growth Hacking\\nPlatform,Hyderabad
skill training startup,1500000.0,Skill Training Startup,Bangalore
beauty and wellness marketplace,1000000.0,Beauty and Wellness Marketplace,Mumbai
marketplace app for bangkok,1900000.0,Marketplace App for Bangkok,Bangalore/ Bangkok
on-demand maids service provider,150000.0,On-demand Maids Service Provider,Mumbai
ecommerce product search engine,150000.0,eCommerce Product Search Engine,Mumbai
ready to cook packaged foods,6000000.0,Ready to cook packaged Foods,Mumbai
branded food products online sales,600000.0,Branded Food products online sales,Bangalore
auto insurance online platform,500000.0,Auto Insurance Online platform,Gurgaon
cricket management mobile game,250000.0,Cricket Management Mobile Game,Hyderabad
